ppt,nLL,AIC,category_mean_bias,category_variance_bias,domain_variance_bias,determinism
31,3.014161290080303,14.028322580160605,2.487613941274894e+21,8.140568596047519,3.7782383218113647,4079.874138211821
32,9.690412507992562,27.380825015985124,1.0000215508491167e-10,1.0000000001,6.065116247019024,14.26545825071686
33,13.177461983979049,34.3549239679581,3305127659077835.5,1.7058523391072717e+19,0.15620361204243796,2.0991131803114704e+16
34,2.249340578476442,12.498681156952884,283.2128694434241,1.0010251532832721,2.5111607345232834,586.6937690651047
35,5.195522492185944,18.391044984371888,2036405992336922.5,1.0000000001,3.385185629360385,164.78715754814326
36,17.001773529711194,42.00354705942239,283876331347.73883,3.788582691076979e+55,2332.080073631388,1.7996944200216371e+19
37,20.764284881032307,49.52856976206461,1e-10,1.0000000001000018,0.001,1.0693011850618985
38,13.355943823440784,34.711887646881564,29743.61511767697,3.594153937274304e+43,64414076276.09165,1.0908880564200044e+26
39,-0.0,8.0,0.21153757687165653,4.703079188083779,0.011349930953410366,69.47347543425731
40,11.40082591334124,30.80165182668248,3285614837490869.0,2.3732247481031316e+16,0.004307168080979336,2.124370324036242e+16
41,-0.0,8.0,0.25897415470127577,4.409250886284918,0.016511119405703073,48.006438970196385
42,19.38142301203478,46.76284602406956,25154808376206.8,1.5903489294351214e+18,314.4664456232302,1.5423236853387092e+18
43,12.825700432329898,33.65140086465979,12.514755874168989,1.2093027198685367,0.0010000000001727644,23.154262303031796
44,13.459974463181428,34.919948926362856,1.4439813991341,147725472145146.78,0.1913834156503938,5.551733396906185
45,19.06345794491691,46.12691588983382,2113012884199685.2,8.373202851523638e+16,1.4451433235140059,2.3639357974139176e+16
46,2.249340578550902,12.498681157101803,1411.2908510384514,1.0000000001002436,6.380179932632699,8582.801590141982
47,4.156503253948776,16.31300650789755,2.1004346227161887e+18,6165635236525309.0,0.8147887586802857,2.663102620508361e+16
48,18.33029350597525,44.6605870119505,50.03619623571242,1.0000000001,0.001000000000013621,18.20946745914355
49,-0.0,8.0,0.05403407675865476,2.5332693841244702,0.04201307731419861,103.40036269753425
50,3.0141612900521757,14.028322580104351,113.0044239055741,1.0000000001030915,1.0335935394748834,4218.743646585075
51,21.95545151849657,51.91090303699314,5.166246111652994e+298,1578129291795.247,1.5613505504496277,1102186329519.7434
52,10.419152783144668,28.838305566289336,5.553329021033289,9.999616602567379,0.00100000000000123,10.026659241480731
53,20.674407561132217,49.34881512226443,0.00021842510927094528,1.0012666862825141,7459194710832951.0,3.2276528817979336e+29
54,-0.0,8.0,3.198648731657777,1.012712350385066,0.015331211796576299,1030.0944681096607
55,19.436698484066945,46.87339696813389,6.646418369871424,1.0000000001,0.0010000000000000926,1.6558422602973748
56,15.039413529182697,38.07882705836539,11.984794877848975,1.0000000001000002,0.001,6.046665512695336
57,3.3861399737905375,14.772279947581076,2.5619221798285805e+17,600556881958780.5,0.18874300433293098,2370233847935107.5
58,9.446934562280854,26.893869124561707,3.52522828438379e+18,18372344590000.31,0.16945747750256607,51045350302777.24
59,21.714884896759287,51.429769793518574,4.215445879226064,1.0000000001,2345641458376472.5,2.2680994073777174e+29
60,5.3746874388294765,18.74937487765895,2.1070219263408096e+177,1.0000000001000193,7.91710741578103,101.04572389350668
61,6.809445776949579,21.618891553899157,0.7478139042771964,1.3960562867599993,274694574985453.5,4.158605721851589e+28
62,5.198523628097364,18.39704725619473,1.2359782697817726e+16,1.6001215995191105,0.1869074318761549,168.55332329336179
63,11.540904183396616,31.081808366793233,0.9380454668471327,3349963147201.178,2.1313280096153426,36.23796518009439
64,18.265748509259357,44.531497018518714,1.7692299777526884e+16,4198774672330054.0,0.04247116858815835,2007299031732665.0
65,15.903193218945892,39.80638643789179,9005299646450750.0,1.0000000001,0.37048249152617263,32.85815877070659
66,22.180709777918246,52.36141955583649,1.3567172181350393,6608.11198331482,9499.454431964641,3.867387465828165e-07
67,2.2493405784763594,12.498681156952719,2326.6830307955597,1.0000000001,3.57252025227228,6634.071699502426
68,19.075156007953918,46.150312015907836,4.710444313124379e+27,1.8119494513930304e+16,0.001,2921400497824890.5
69,11.28149679330131,30.56299358660262,1e-10,227.75801554448068,76377076749992.3,8.608185727920243e+28
70,15.245111139726802,38.490222279453604,59.18128126514974,1.000000000100003,0.20774476532228367,14.93704241515856
71,17.59378875930528,43.18757751861056,7.603590723102012,1.0000000001000113,0.001,8.982138470180251
